Attribute,Accuracy,Correlation,Rank Correlation,MAE,Obs
GED,0.053,0.780,0.788,1.043,3608
SVP,0.233,0.833,0.837,0.920,3608
EHFCoord,0.394,0.333,0.273,0.486,3608
FingerDext,0.177,0.446,0.434,0.515,3608
