Attribute,Accuracy,Correlation,Rank Correlation,MAE,Obs
Data,0.841,0.890,0.879,0.353,2468
People,0.945,0.899,0.922,0.158,2468
Things,0.775,0.759,0.744,0.687,2468
DCP,0.959,0.838,0.838,0.041,2468
STS,0.809,0.641,0.641,0.191,2468
